------------------------------------------------------------
Server listening on UDP port 5001 with pid 1752
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 51655
[  4] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 33567
[  5] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 37758
[  6] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 41594
[  7] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 54039
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  7] 160.0000-170.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.656 ms    0/  892 (0%) 16.406/13.303/121.523/ 7.459 ms   89 pps  7.99
[SUM] 160.0000-170.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 170.0000-180.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.031 ms    0/  891 (0%) 15.810/13.423/25.991/ 3.040 ms   89 pps  8.28
[  4] 170.0000-180.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.001 ms    0/  891 (0%) 15.788/13.413/25.824/ 3.030 ms   89 pps  8.30
[  5] 170.0000-180.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.025 ms    0/  891 (0%) 15.812/13.393/25.920/ 3.041 ms   89 pps  8.28
[  6] 170.0000-180.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.035 ms    0/  891 (0%) 15.801/13.382/25.918/ 3.041 ms   89 pps  8.29
[  7] 170.0000-180.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.317 ms    0/  891 (0%) 15.796/13.376/25.930/ 3.028 ms   89 pps  8.29
[SUM] 170.0000-180.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4455        0 pps
[  3] 180.0000-190.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.478 ms    0/  892 (0%) 15.903/13.392/35.214/ 3.220 ms   89 pps  8.25
[  4] 180.0000-190.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.362 ms    0/  892 (0%) 15.891/13.411/35.215/ 3.208 ms   89 pps  8.25
[  5] 180.0000-190.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.394 ms    0/  892 (0%) 15.917/13.417/35.215/ 3.231 ms   89 pps  8.24
[  6] 180.0000-190.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.410 ms    0/  892 (0%) 15.920/13.422/35.216/ 3.230 ms   89 pps  8.24
[  7] 180.0000-190.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.523 ms    0/  892 (0%) 15.888/13.334/35.092/ 3.192 ms   89 pps  8.25
[SUM] 180.0000-190.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 190.0000-200.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.060 ms    0/  892 (0%) 15.878/13.369/30.578/ 3.112 ms   89 pps  8.26
[  4] 190.0000-200.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.037 ms    0/  892 (0%) 15.863/13.457/26.629/ 3.073 ms   89 pps  8.27
[  5] 190.0000-200.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.047 ms    0/  892 (0%) 15.855/13.456/26.586/ 3.077 ms   89 pps  8.27
[  6] 190.0000-200.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.061 ms    0/  892 (0%) 15.849/13.458/26.629/ 3.076 ms   89 pps  8.27
[  7] 190.0000-200.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.072 ms    0/  892 (0%) 15.845/13.410/26.738/ 3.077 ms   89 pps  8.28
[SUM] 190.0000-200.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 200.0000-210.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.520 ms    0/  891 (0%) 15.930/13.436/26.453/ 3.167 ms   89 pps  8.22
