------------------------------------------------------------
Server listening on UDP port 5001 with pid 4909
Receiving 1470 byte datagrams
UDP buffer size:  176 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 37527
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 1270.0000-1280.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.956 ms    0/  891 (0%)  6.378/ 4.624/11.051/ 0.915 ms   89 pps  20.54
[  3] 1280.0000-1290.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.978 ms    0/  892 (0%)  6.314/ 4.794/16.310/ 0.954 ms   89 pps  20.77
[  3] 1290.0000-1300.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.270 ms    0/  892 (0%)  6.546/ 4.828/19.316/ 1.112 ms   89 pps  20.03
[  3] 1300.0000-1310.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.038 ms    0/  891 (0%)  6.679/ 5.071/15.504/ 0.919 ms   89 pps  19.61
[  3] 1310.0000-1320.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.069 ms    0/  892 (0%)  6.916/ 5.392/17.756/ 0.947 ms   89 pps  18.96
[  3] 1320.0000-1330.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.950 ms    0/  892 (0%)  6.963/ 5.469/17.564/ 1.023 ms   89 pps  18.83
[  3] 1330.0000-1340.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.883 ms    0/  891 (0%)  7.096/ 5.489/20.294/ 1.154 ms   89 pps  18.46
[  3] 1340.0000-1350.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.038 ms    0/  892 (0%)  7.184/ 5.712/12.118/ 0.862 ms   89 pps  18.25
[  3] 1350.0000-1360.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.304 ms    0/  892 (0%)  7.326/ 5.839/21.401/ 1.201 ms   89 pps  17.90
[  3] 1360.0000-1370.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.997 ms    0/  891 (0%)  7.339/ 5.818/18.093/ 0.892 ms   89 pps  17.85
[  3] 1370.0000-1380.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.059 ms    0/  892 (0%)  6.983/ 5.348/17.867/ 1.116 ms   89 pps  18.78
[  3] 1380.0000-1390.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.098 ms    0/  891 (0%)  7.106/ 5.461/20.087/ 1.254 ms   89 pps  18.43
[  3] 1390.0000-1400.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.019 ms    0/  892 (0%)  7.287/ 5.485/18.287/ 1.100 ms   89 pps  17.99
[  3] 1400.0000-1410.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.076 ms    0/  892 (0%)  7.281/ 5.854/16.332/ 0.959 ms   89 pps  18.01
[  3] 1410.0000-1420.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.096 ms    0/  891 (0%)  7.601/ 5.976/21.037/ 1.163 ms   89 pps  17.23
[  3] 1420.0000-1430.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.109 ms    0/  892 (0%)  7.632/ 6.125/11.475/ 0.871 ms   89 pps  17.18
[  3] 1430.0000-1440.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.016 ms    0/  891 (0%)  7.745/ 6.201/17.783/ 0.970 ms   89 pps  16.91
[  3] 1440.0000-1450.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.957 ms    0/  892 (0%)  7.872/ 6.117/20.708/ 1.179 ms   89 pps  16.66
[  3] 1450.0000-1460.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.985 ms    0/  892 (0%)  7.893/ 6.185/18.857/ 0.963 ms   89 pps  16.61
